,Name,PlantType,Color,HardinessZones,BloomsIn,Height,SunNeeds,WaterNeeds,Maintenance
113,Jasminum (Jasmine),"Climbers, Shrubs",Most of the Jasmine species bear white or pale yellow flowers.,6-11,"Spring, Summer","Growing approximately 30-60 cm (1-2 ft) per year, Jasmines can reach 150 cm (5 ft) tall as a shrub and over 10 m (33 ft) as a vine.","Full sun, Partial sun",low,low
114,Justicia (Jacobinia),"Perennials, Shrubs","Justicia comes in shades of red, orange, pink, yellow, white and cream.",8-12,Summer,"The smaller types grow in mounds about 50 cm (2 ft) high, while others are more shrublike and grow up to 2,5 metres (8 ft) tall.","Partial sun, Shade",avarage,low
115,Kalanchoe (Kalanchoe),"Cactus - Succulents, Perennials, Shrubs","Kalanchoe comes in a variety of colors, including orange, pink, red, white and many variations thereof.",9-11,"Spring, Autumn, Winter, Summer","Most species are less than 1 m (3 ft), with the exception of Kalanchoe beharensis from Madagascar which can reach the height of 6 m (20 ft).","Full sun, Partial sun",low,low
116,Kalmia (Spoonwood),Shrubs,"The flowers are usually pink, purple, lavender or white.",4-9,"Spring, Summer",These plants range from 25 cm (1 ft) to 5 metres (16 ft) in height.,"Full sun, Partial sun",avarage,low
117,Kerria (Japanese kerria; Japanese rose),Shrubs,These flowers are bright yellow in color.,4-9,"Spring, Summer",Kerria grows up to 3 metres (10 ft) in height.,Partial sun,avarage,low
118,Kniphofia (Red Hot Pokers; Torch Lily; Tritoma),Perennials,"Kniphofia blooms in shades of red, orange, yellow and cream. They change color as the flower matures, which results in a bicolor look.",5-10,"Spring, Autumn, Summer",Kniphofia grows up to 2 metres (7 ft) high.,Full sun,avarage,low
119,Kolkwitzia (Beauty Bush),Shrubs,"The flowers are soft pink to white, each with a yellow troat.",4-8,"Spring, Summer",Kolkwitzia amabilis grows up to 3 metres (10 ft) in height.,"Full sun, Partial sun",avarage,low
120,Kunzea (Kunzea),"Shrubs, Trees","Kunzea flowers come in various colors including white, yellow, pink, purple and red.",7-10,"Autumn, Winter, Summer",They range in size from small ground covers to 10 metre (32 ft) trees.,"Full sun, Partial sun",avarage,low
121,Lantana (Shrub Verbena),"Annuals, Perennials, Shrubs","Lantana comes in a rainbow of colors including red, orange, pink, lavender, yellow, white or a mixture of these and will often display different colors in the center and on the edges.",8-11,"Spring, Autumn, Summer","The species range in size from 25 cm to 1,2 metres (10 inches to 4 ft) tall.",Full sun,avarage,low
122,Lathyrus (Sweet Pea ),"Annuals, Climbers, Perennials","The flowers come in a wide variety of colors, including white, cream, yellow, red, scarlet, pink, salmon, magenta, purple, lavender and blue.",2-11,"Spring, Autumn, Summer","The species range from 30 cm (1 ft) to 280 cm (9 ft) tall, depending on variety.",Full sun,avarage,low
123,Lavandula (Lavender),"Herbs, Perennials, Shrubs","Lavender comes in a wide range of purple colors, but also can be found in white, pink and blue.",5-10,"Spring, Autumn, Summer",Lavender grows from 30 to 90 cm (1 to 3 ft) tall.,Full sun,low,medium
124,Leontopodium (Edelweiss),Perennials,"This plant has small, yellow clustered florets.",4-9,"Spring, Autumn, Summer",The plant reaches about 30 cm (1 ft) in height.,"Full sun, Partial sun",avarage,low
125,Leucojum (Snowflake),"Bulbs, Perennials",Leucojum has white flowers with faint green tips.,3-9,"Spring, Summer",Leucojum grows up to 60 cm (2 ft) high.,"Full sun, Partial sun",avarage,low
126,Lewisia (Lewisia),Perennials,"The flowers come in shades of white, pink, purple, orange and red.",3-8,"Spring, Autumn, Summer","Lewisia is a small plant, growing up to 30 cm (1 ft) in height.","Full sun, Partial sun",low,low
127,Liatris (Blazing Star; Gayfeather),Perennials,"The flowers come in shades of purple, lavender, pink, white, rose and violet.",3-10,"Autumn, Summer",The plant grows up to 150 cm (5 ft) in height.,Full sun,avarage,low
128,Lilium (Lily),"Bulbs, Perennials","Lilies come in a large variety of colors and the most common are white, yellow, orange and red.",3-9,"Spring, Autumn, Summer","Some species are small, about 30 cm or 1 ft (such as Dwarf Asiatic Lilies), while others can reach a height of 270 cm or 9 ft (Lilium Superbum).","Full sun, Partial sun",avarage,low
129,Limonium (Sea Lavender; Statice),"Annuals, Perennials, Shrubs","The flowers are blue, purple, pink, yellow or white.",3-11,"Spring, Summer",The plant grows up to 90 cm (3 ft) in height.,Full sun,low,low
130,Lobelia (Lobelia),"Annuals, Perennials, Shrubs","The flowers come in shades of blue, white, pink, red and purple.",3-9,"Spring, Autumn, Summer","The plant ranges in height from 15 cm (6 inches) to 150 cm (5 ft), depending on species.","Full sun, Partial sun",avarage,low
131,Lonicera (Honeysuckle),"Climbers, Shrubs","The flowers come in shades of white, yellow, pink, orange and red.",2-10,"Spring, Autumn, Winter, Summer",Honeysuckles range in height from 60 cm (2 ft) to 9 m (30 ft) tall.,"Full sun, Partial sun",avarage,low
132,Lupinus (Lupine; Lupin),"Annuals, Perennials","The flowers are usually blue or purple, but sometimes pink, yellow and white.",4-8,"Spring, Summer","Lupinus grows from 30 cm to 1,5 m (1 to 5 ft) tall, depending on species.","Full sun, Partial sun",avarage,low
133,Lycoris (Spider Lily),"Bulbs, Perennials","The flowers come in shades of red, pink, orange, white and yellow.",5-10,"Spring, Autumn, Summer",Lycoris grows up to 60 cm (2 ft) in height.,"Full sun, Partial sun",avarage,low
134,Magnolia (Magnolia),"Shrubs, Trees","Magnolia produces white, purple, pink and yellow flowers, depending on variety.",4-9,"Spring, Summer","The trees can grow to a height of 20 metres (65 ft), while shrubs are smaller and are 2,5 to 6 metres (8-20 ft) high.","Full sun, Partial sun",avarage,low
135,Malva (Mallow),"Annuals, Perennials","The flowers are usually pink, purple and white.",3-10,"Spring, Autumn, Summer","This plant grows up to 150 cm (5 ft) in height, but most of the species are smaller than that.","Full sun, Partial sun",avarage,low
136,Mandevilla (Dipladenia; Rocktrumpet),"Annuals, Climbers, Perennials","The flowers come in shades of red, pink, white and yellow.",9-11,"Spring, Autumn, Summer","The species can grow up to 6 metres (20 ft) in height, or even more.",Partial sun,avarage,medium
137,Mimosa (Mimosa),"Annuals, Perennials, Shrubs, Trees","The flowers come in shades of pink, purple and white.",9-13,Summer,They can be found in various sizes and some (Mimosa pigra) may grow as large as 6 m (20 ft) tall.,"Full sun, Partial sun",avarage,medium
138,Monarda (Bee Balm; Bergamot),Perennials,"These flowers come in shades of red, pink, purple and white.",3-9,"Autumn, Summer","Different varieties vary in height from dwarf species barely 25 cm (10 inches) tall to ""giants"" that reach about 1,5 metres (5 ft) high.","Full sun, Partial sun",avarage,low
139,Muscari (Grape Hyacinth),Bulbs,"These flowers are commonly blue. However, the white, pink and yellow types can also be found.",4-9,Spring,Muscari is a small plant that grows between 10 cm (4 inches) and 25 cm (10 inches) tall.,"Full sun, Partial sun",avarage,low
140,Myosotis (Forget Me Not; Scorpion Grass),Perennials,"The flowers are usually blue, but may be pink or white, sometimes with a yellow center.",3-9,"Spring, Summer",Myosotis can reach about 30 cm (1 ft) in height.,"Full sun, Partial sun",avarage,low
141,Myrtus (Myrtle),"Shrubs, Trees",The flowers are most commonly white.,8-9,"Spring, Summer",Myrtle grows up to 6 metres (20 ft) in height.,"Full sun, Partial sun",avarage,low
142,Narcissus (Daffodil),"Bulbs, Perennials",These flowers are usually white and yellow.,3-9,Spring,"Some species can reach a height of 10 cm (4 inches), while others can grow up to 90 cm (3 ft) tall.","Full sun, Partial sun",low,low
143,Nelumbo (Lotus),Perennials,"Nelumbo nucifera has white or pink flowers, while Nelumbo lutea has yellow ones.",4-10,"Spring, Summer","The leaves and flowers of Nelumbo nucifera are held on stems up to 2 metres (7 ft) tall. The Nelumbo lutea are almost the same size, ranging from 80 cm to 1,5 metres (3-5 ft) in height.",Full sun,avarage,low
144,Nemesia (Nemesia),"Annuals, Perennials, Shrubs","These flowers come in shades of blue, purple, red, pink, orange, mauve, yellow, cream and white.",8-11,"Spring, Autumn, Winter, Summer",The half-inch flowers bloom on plants that grow up to 60 cm (2 ft) tall.,"Full sun, Partial sun",avarage,low
145,Nemophila (Baby Blue Eyes),Annuals,The flowers vary in color from a true blue to a definite purple.,2-11,"Spring, Winter","Nemophila is a small plant, rarely growing over 30 cm (1 ft) high.","Full sun, Partial sun",avarage,low
146,Nepeta (Catmint; Catnip; Cataria),Perennials,"Nepeta comes in shades of blue, purple, white and even pink and yellow.",3-9,"Spring, Autumn, Summer","Nepeta grows between 20 cm and 2 metres (8 inches to 7 ft) high, depending on variety.","Full sun, Partial sun",low,low
147,Nerine (Guernsey Lily),"Bulbs, Perennials","The flowers come in shades of pink, orange, red and white.",8-11,"Autumn, Summer",Nerine reaches 60 cm (2 ft) in height.,"Full sun, Partial sun",avarage,medium
148,Nerium (Oleander),"Shrubs, Trees","The flowers come in shades of red, purple, pink, yellow, cream and white.",8-11,"Spring, Autumn, Summer",This plant can grow up to 6 meters (20 ft) high.,Full sun,avarage,low
149,Nigella (Love-in-a-mist; Devil-in-a-bush),Annuals,"The flowers are blue, white and even yellow and pink.",2-10,"Spring, Autumn, Summer",Nigella grows between 20 cm (8 inches) and 90 cm (3 ft) in height.,"Full sun, Partial sun",avarage,low
150,Obregonia (Artichoke Cactus),Cactus - Succulents,"The flower colors are usually white or slightly pink, with yellow stamens.",9-12,Summer,"Obregonia is a small-sized plant, about 15 cm (6 inches) in height.","Full sun, Partial sun",low,medium
151,Oenothera (Oenothera),"Annuals, Perennials","Oenothera produces yellow, pink and white flowers.",3-7,"Spring, Autumn, Summer","The species vary in size from 15 cm to 2,5 metres (6 inches to 8 ft) high.","Full sun, Partial sun",avarage,low
152,Opuntia (Prickly Pear),Cactus - Succulents,"These flowers are usually yellow, sometimes red and pink, but rarely white.",6-11,"Spring, Summer","Opuntias vary in height from 20 cm (8 inches) to giants that grow up to 4,5 metres (15 ft) in height.","Full sun, Partial sun",low,low
153,Ornithogalum (Star of Bethlehem),"Bulbs, Perennials","The flowers come in white, yellow and orange colors.",4-10,"Spring, Summer",The plant can grow between 10 and 60 cm (4 inches to 2 ft) tall.,"Full sun, Partial sun",avarage,low
154,Osteospermum (African Daisy),"Annuals, Perennials, Shrubs","The flowers come in numerous colors and shades including blue, purple, mauve, pink, yellow, white and cream.",9-11,"Spring, Autumn, Summer",Osteospermum reaches up to 60 cm (2 ft) in height.,Full sun,avarage,low
155,Oxalis (Wood Sorrel),"Annuals, Bulbs, Perennials","The flowers come in shades of yellow, pink, white and purple.",4-11,"Spring, Autumn, Summer",This plant reaches 7 to 30 cm (3 to 12 inches) in height.,"Full sun, Partial sun",avarage,low
156,Paeonia (Peony),"Perennials, Shrubs","Peonies produce red, pink, purple, white and yellow flowers.",2-9,"Spring, Summer","The species range in size from 60 cm to 120 cm (2 to 4 ft) tall. However, Peony trees can grow to 3 metres (10 ft) in height.","Full sun, Partial sun",avarage,low
157,Papaver (Poppy),"Annuals, Perennials","The flowers bloom in a range of colors, from white, yellow, pink and orange to red and purple.",3-10,"Spring, Summer",Poppy usually grows between 30 and 90 cm (1-3 ft) tall.,"Full sun, Partial sun",avarage,low
158,Passiflora (Passion Flower; Passion Vine),"Annuals, Climbers, Perennials, Shrubs, Trees","Though a wide range of colors exist, the most common are white, purple and blue.",6-11,"Spring, Autumn, Summer","These plants range in size from 60 cm (2 ft) to 20 metres (65 ft), depending on variety.","Full sun, Partial sun",avarage,medium
159,Pelargonium (Geranium),"Annuals, Cactus - Succulents, Perennials, Shrubs","The flowers come in shades of red, purple, orange, pink and white, with many bicolored combinations.",8-12,"Spring, Autumn, Summer",Pelargoniums grow from 30 to 180 cm (1 to 6 ft) tall.,"Full sun, Partial sun",avarage,low
160,Penstemon (Beardtongue),Perennials,"Penstemon flowers come in shades of white, yellow, blue, red and purple.",3-10,"Autumn, Summer","This plant grows between 30 cm (1 ft) and 120 cm (4 ft) high, depending on species.","Full sun, Partial sun",avarage,low
161,Perovskia (Perovskia),"Perennials, Shrubs",The flowers come in shades of purple and blue.,4-9,"Autumn, Summer",Perovskia grows up to 150 cm (5 ft) tall.,Full sun,low,low
162,Petunia (Petunia),"Annuals, Perennials","Petunias are available in almost all colors except for true blue. The most common colors are white, yellow, pink, red and purple.",8-11,"Spring, Autumn, Summer",The species range in size from 15 cm to 120 cm (6 inches to 4 ft) in height.,"Full sun, Partial sun",avarage,low
163,Phacelia (Scorpionweed),"Annuals, Perennials",The flowers are most commonly seen in shades of purple and blue.,2-10,"Spring, Summer",Phacelia can grow up to 120 cm (4 ft) high.,"Full sun, Partial sun",low,low
164,Phlox (Phlox),"Annuals, Perennials","There are many different color varieties available, such as white, yellow, pink, purple, red, lavender, rose, magenta.",2-9,"Spring, Autumn, Summer","Phlox can be found in different sizes, from dwarf species only around 10 cm (4 inches) in height to some reaching 120 cm (4 ft) tall.","Full sun, Partial sun",avarage,medium
165,Platycodon (Balloon Flower; Chinese Bellflower; Japanese Bellflower),Perennials,"Platycodon come in purple, blue, pink and white.",3-8,"Autumn, Summer",The plant can grow nearly 60 cm (2 feet) tall.,"Full sun, Partial sun",avarage,low
166,Plumbago (Plumbago),"Annuals, Climbers, Perennials, Shrubs","The flowers come in a variety of colors, but the most common are blue and white.",8-11,"Spring, Autumn, Winter, Summer","The plants can reach up to 3 m (10 ft) in height, although they are typically smaller.","Full sun, Partial sun",avarage,low
167,Plumeria (Frangipani; Hawaiian Lei Flower),"Shrubs, Trees","These flowers can be found in shades of white, yellow, pink and red.",9-11,"Spring, Autumn, Summer","Their sizes vary depending on the variety. Some species can grow up to 10 metres (32 ft) in height, but dwarf varieties are also available.","Full sun, Partial sun",avarage,low
168,Polygonatum (Solomon's Seal),Perennials,"The flowers come in white, green or pink, in solid colors or in combinations.",3-8,"Spring, Summer","These plants vary in height from 60 to 200 cm (2 to 7 ft), depending on species.","Partial sun, Shade",avarage,low
169,Potentilla (Cinquefoil),"Annuals, Perennials, Shrubs","The flowers are usually yellow, but can also be white, purple, pink or red.",2-9,"Spring, Autumn, Summer","Cinquefoil range in height from 30 to 120 cm (1 to 4 ft), depending on the varieties.","Full sun, Partial sun",avarage,low
170,Primula (Primrose),Perennials,"These flowers come in a wide range of colors, from blue, purple, green and orange to pink, red, yellow and white.",3-9,Spring,The species grows up to 60 cm (2 ft) in height.,"Full sun, Partial sun",avarage,low
171,Protea (Protea),"Shrubs, Trees","The flowers come in shades of white, purple, red, orange, yellow and green.",8-11,"Spring, Autumn, Winter, Summer",Protea range in height from tiny shrubs to tall trees of 10 meters (33 ft).,Full sun,low,low
172,Prunus (Prunus),"Shrubs, Trees","Prunus flowers comes in shades of white, pink, purple and red.",2-9,"Spring, Autumn, Winter, Summer","The species range in height from 1,5 metres to 12 metres (5 to 40 ft) tall.",Full sun,avarage,low
173,Pulmonaria (Lungwort),Perennials,"The flowers come in shades of blue, purple, pink and white.",3-9,"Spring, Winter",Pulmonaria can grow up to 30 cm (1 ft) tall.,"Partial sun, Shade",avarage,low
174,Quesnelia (Quesnelia),"Cactus - Succulents, Perennials","The flowers come in red, blue, pink and yellow colors.",9-12,"Spring, Winter",These plants can grow up to 60 cm (2 ft) in height.,"Full sun, Partial sun, Shade",avarage,low
175,Rafflesia (Rafflesia),,Rafflesia is reddish brown with white marks on its petals.,13,"Spring, Autumn, Winter, Summer",Rafflesia can reach up to 1 m (more than 3 ft) in diameter.,"Full sun, Partial sun, Shade",avarage,low
176,Ranunculus (Buttercup; Crowfoot; Spearwort),"Annuals, Bulbs, Perennials","The flowers are usually yellow, but may also be white, pink and red.",7-11,"Spring, Summer","Ranunculus can reach a height of between 20 and 60 cm (8 inches to 2 ft), depending on species.","Full sun, Partial sun",avarage,low
177,Rhododendron (Rhododendron),"Shrubs, Trees","Rhododendron blooms in various colors, from pure white to red, orange and pink to gold and purple.",3-11,"Spring, Autumn, Winter, Summer",The species range in size from low ground covers and medium sized shrubs to trees that can reach 25 metres (82 ft) tall.,Partial sun,avarage,low
178,Rondeletia (Rondeletia),"Shrubs, Trees","The flowers are white, yellow, pink and red, sometimes with yellow centers.",9-11,"Spring, Autumn, Winter, Summer","The plant can grow up to 4,5 metres (15 ft) tall.","Full sun, Partial sun",avarage,low
179,Rosa (Rose),"Climbers, Roses, Shrubs","Roses range in color from white and yellow to red, pink and purple.",2-10,"Spring, Autumn, Summer",Roses range in size from dwarf species to climbers that can reach 12 metres (40 ft) in height.,"Full sun, Partial sun",avarage,medium
180,Rudbeckia (Coneflower),"Annuals, Perennials","Rudbeckias are mostly yellow, but also can be red and orange, with central cones that can be green, black and brown.",3-9,"Autumn, Summer",This plant grows between 30 and 120 cm (1 to 4 ft) in height.,"Full sun, Partial sun",avarage,low
181,Salvia (Sage),"Annuals, Perennials, Shrubs","Salvia blooms in a range of colors, from traditional dark blue to light blue, red, pink, and white.",3-11,"Spring, Autumn, Winter, Summer","Salvia grows from 30 cm to 180 cm (1 to 6 ft) tall, depending on species.","Full sun, Partial sun",avarage,low
182,Sandersonia (Christmas Bells; Chinese Lantern Lily),"Climbers, Perennials",The flowers are orange or yellow.,8-11,"Spring, Summer",This plant grows up to 90 cm (3 ft) in height.,Full sun,avarage,low
183,Saxifraga (Saxifrage; Rockfoil),Perennials,"The flowers are usually white, but may be yellow, purple, pink and red.",3-10,"Spring, Autumn, Winter, Summer",This plant usually reaches about 30 cm (1 ft) in height.,"Full sun, Partial sun, Shade",avarage,low
184,Scabiosa (Scabious; Pincushion Flower),"Annuals, Perennials","These flowers come in different colors including blue, purple, white, yellow, pink and red.",3-9,"Autumn, Summer",Scabiosa typically ranges in height from 15 cm (6 inches) to 60 cm (2 ft).,Full sun,avarage,low
185,Scilla (Squill),Bulbs,"Scilla comes in shades of blue, purple and white. The blue ones are very pretty, some of the best blues to be found among flowers.",2-10,"Spring, Winter","Scilla can grow up to 60 cm (2 ft) high However, some species are less than 10 cm (4 inches) tall.","Full sun, Partial sun",avarage,low
186,Sedum (Stonecrop),"Annuals, Cactus - Succulents, Perennials, Shrubs","The flowers come in a rainbow of colors, from red, orange, pink and purple to yellow and white. The foliage can be found in different colors, too.",3-10,"Autumn, Summer","Sedums can grow from 10 to 90 cm (4 inches to 3 ft), depending on variety.","Full sun, Partial sun",low,low
187,Solidago (Goldenrod),Perennials,"Goldenrods come in a bright, golden-yellow color.",3-9,"Autumn, Summer","Goldenrods can grow up to 90 cm (3 ft) in height, while some species are only 10 cm (4 inches) tall.",Full sun,avarage,low
188,Spiraea (Spirea),Shrubs,"The flowers come in shades of purple, pink, yellow, cream and white.",3-9,"Spring, Autumn, Summer","These plants can grow up to 3 m (10 ft) in height, depending on species.","Full sun, Partial sun",avarage,low
189,Strelitzia (Bird of Paradise; Crane Flower),"Perennials, Shrubs","The flowers are orange, red, yellow or even blue and purple.",9-12,"Spring, Autumn, Winter, Summer","Strelitzia can grow as tall as 1 m (3 ft) or taller, while some species (Strelitzia nicolai) can reach 10 metres (33 ft) high.","Full sun, Partial sun",avarage,low
190,Syringa (Lilac),"Shrubs, Trees","Although they get their common name from their most popular color, Lilacs can also be found in other colors such as blue, red, pink, white and yellow.",3-8,"Spring, Summer","Lilacs range in size from 2 to 10 metres (7 to 33 ft) high, depending on species.","Full sun, Partial sun",avarage,low
191,Tagetes (Marigold),"Annuals, Perennials, Shrubs","Tagetes comes in shades of yellow, orange and even white.",2-11,"Spring, Autumn, Summer","These species range in size from 15 to 80 cm (6 inches to 3 ft) tall, rarely until 2 metres (7 ft).",Full sun,avarage,low
192,Tanacetum (Tanacetum),"Annuals, Perennials, Shrubs","The flowers are usually white or yellow, depending on species.",3-9,Summer,These plants can grow from a few inches to 150 cm (5 ft) tall.,"Full sun, Partial sun",avarage,medium
193,Taraxacum (Dandelion),Perennials,"The flowers are usually bright yellow, but they can be darker or even white, such as Taraxacum albidum.",3-10,"Spring, Autumn, Winter, Summer",Dandelions range in height from 5 to 50 cm (2-20 inches) in height.,"Full sun, Partial sun",avarage,low
194,Tigridia (Tiger Flower; Mexican Shellflower),Bulbs,"The flowers may be red, yellow, white, cream, orange, scarlet, pink and mauve.",8-11,Summer,These plants usually grow between 30 and 60 cm (1-2 ft) tall.,"Full sun, Partial sun",avarage,low
195,Torenia (Wishbone Flower; Bluewings; Clown Flower),Annuals,"The flowers come in shades of purple, blue, pink, yellow and white.",2-11,"Spring, Autumn, Summer",Torenia grows up to 30 cm (1 ft) in height.,"Partial sun, Shade",avarage,medium
196,Tradescantia (Spiderwort),Perennials,"The flowers come in shades of blue, purple, pink, red and white.",4-12,"Spring, Autumn, Summer",This plant can reach up to 90 cm in height.,"Full sun, Partial sun, Shade",avarage,low
197,Tricyrtis (Toad Lily),Perennials,"The flowers come in shades of red, purple, white and yellow.",4-9,"Autumn, Summer",Tricyrtis reaches up to 90 cm (3 ft) in height.,"Partial sun, Shade",avarage,low
198,Trillium (Wake Robins; Birthroot),Perennials,"Flower color varies from red, pink, maroon and purple to yellow and white.",3-9,"Spring, Summer",Trillium usually grows between 30 and 60 cm (1-2 ft) in height.,"Partial sun, Shade",avarage,low
199,Trollius (Globe Flower),Perennials,"These beautiful flowers bloom in shades of yellow, orange and white.",3-8,"Spring, Summer",Trollius can grow up to 90 cm (3 ft) in height.,"Full sun, Partial sun",avarage,low
200,Tropaeolum (Nasturtium),"Annuals, Perennials","Nasturtium comes in red, orange, yellow, purple and cream colors.",2-11,"Spring, Autumn, Summer","Nasturtium vary in height from 20 cm (8 inches) to 3 metres (10 ft), depending on species.",Full sun,avarage,low
201,Tulipa (Tulip),"Annuals, Bulbs, Perennials",You will find Tulips in nearly every color and pattern.,3-9,Spring,"Tulips can be short (less than 20 cm or 8 inches), medium (20-45 cm or 8-18 inches) and tall (greater than 45 cm or 18 inches).","Full sun, Partial sun",low,low
202,Ulex (Gorse; Furze),Shrubs,The flowers are usually yellow in color.,6-10,"Spring, Autumn, Winter, Summer",The plant can grow up to 3 metres (10 ft) high.,Full sun,low,low
203,Ursinia (African Daisy),"Annuals, Perennials","Ursinia has yellow, red or orange flowers.",3-11,"Spring, Autumn, Winter, Summer",Ursinia grows from 20 cm to 60 cm (8 inches to 2 ft) in height.,"Full sun, Partial sun",avarage,low
204,Valeriana (Valerian),Perennials,"The flowers are white, pink or lavender.",4-9,"Autumn, Summer","The plant can reach 1,5 meters (5 ft) in height.","Full sun, Partial sun",avarage,low
205,Verbascum (Mullein),"Annuals, Perennials","These flowers are primarily bright yellow, but also white, red, purple and pink.",5-10,"Spring, Summer",Mullein has a flower spike that reaches 3 metres (10 ft) high.,Full sun,low,low
206,Verbena (Vervain),"Annuals, Perennials","The blooms come in shades of purple, red, pink and white.",3-12,"Autumn, Summer","Verbena grows from 7 cm to 180 cm (3 inches to 6 ft) tall, depending on species.","Full sun, Partial sun",avarage,low
207,Veronica (Speedwell),Perennials,"Veronica comes in shades of blue, purple, pink and white.",3-11,"Spring, Autumn, Summer","Veronica comes in a wide range of sizes, from dwarfs that rarely exceed 10 cm (4 inches) to large specimens that can grow more than 1,5 metres (5 ft) in height.","Full sun, Partial sun",avarage,low
208,Veronicastrum (Veronicastrum),Perennials,"The flowers come in shades of white, purple and pink.",3-9,"Autumn, Summer",Veronicastrum reaches nearly 2 m (6 ft) in height.,"Full sun, Partial sun",avarage,low
209,Vinca (Periwinkle),"Perennials, Shrubs","Vinca comes in shades of pink, purple, red and white.",3-11,"Autumn, Summer",Vinca range in size from dwarf species that grow only about 10 cm (4 inches) tall to the larger types which can grow up to 60 cm (2 ft) in height.,"Full sun, Partial sun, Shade",avarage,low
210,Viola (Violet),"Annuals, Perennials, Shrubs","As their name suggests, many species are violet in color, but can also be blue, white, yellow and cream. Some blooms have two or even three colors.",3-9,"Spring, Autumn, Winter, Summer",Violas are small plants up to 20 cm (8 inches) tall.,"Full sun, Partial sun",avarage,low
211,Watsonia (Bugle Lily),"Bulbs, Perennials","The flowers come in shades of red, pink, orange, purple and white.",8-11,"Spring, Autumn, Winter, Summer",This plant grows from 30 cm to 2 metres (1 ft to 7 ft) in height.,Full sun,avarage,low
212,Weigela (Weigela),Shrubs,"The flowers come in shades of red, pink, white and yellow.",4-9,"Spring, Autumn, Summer",This plant grows from 30 cm (1 ft) to 3 metres (10 ft) high.,"Full sun, Partial sun",avarage,low
213,Wisteria (Wisteria),Climbers,"Wisteria comes in shades of white, blue, purple and pink.",5-9,"Spring, Summer","Wisteria grows from 180 cm to 12 metres (6 to 40 ft) tall, depending on species.","Full sun, Partial sun",avarage,hard
214,Xanthisma (Xanthisma),"Annuals, Perennials","The flowers are generally yellow in color, but there are also varieties that are white and purple.",3-9,"Spring, Autumn, Winter, Summer",This plant can reach a height of 60 cm (2 ft).,"Full sun, Partial sun",low,low
215,Xeranthemum (Xeranthemum),Annuals,"These flowers come in shades of pink, purple and white.",2-10,"Autumn, Summer",This plant can grow between 30 and 90 cm (1-3 ft) tall.,Full sun,avarage,low
216,Xerochrysum (Xerochrysum),"Annuals, Perennials, Shrubs","Its bracts are yellow, orange, purple, pink and red.",8-11,"Spring, Autumn, Summer","Xerochrysum grows from 20 to 150 cm (8 inches to 5 ft) tall, depending on species.",Full sun,avarage,low
217,Xerophyllum (Xerophyllum),"Herbs, Perennials",Xerophyllum has unique cream-colored flowers.,4-8,"Spring, Summer","These plants can grow from 50 cm to 1,5 meters (2-5 ft) tall, with numerous small flowers growing on long flower stalks.","Full sun, Partial sun",low,low
218,Yucca (Yucca),"Cactus - Succulents, Shrubs, Trees","The Yucca plant has green, sword-like leaves and white or whitish flowers.",4-11,"Spring, Autumn, Summer","Yucca grows from 60 cm to 4,5 metres (2 to 15 ft) high, depending on species.","Full sun, Partial sun",low,low
219,Zantedeschia (Calla Lily; Arum Lily),"Bulbs, Perennials","Zantedeschia is available in a multitude of colors including white, yellow, orange, pink, purple and even black.",3-10,"Spring, Summer",The plant grows between 30 and 90 cm (1 to 3 ft) tall.,"Full sun, Partial sun",avarage,low
220,Zephyranthes (Rain Lily; Fairy Lily),"Annuals, Bulbs, Perennials","The flowers may be yellow, pink and white.",7-11,"Spring, Autumn, Summer",The plant can grow up to 30 cm (1 ft) in height.,"Full sun, Partial sun",avarage,medium
221,Zinnia (Zinnia),"Annuals, Perennials, Shrubs","These flowers are known for their vivid colors. They are often multi-colored and may be yellow, orange, white, red, pink and purple.",2-11,"Autumn, Summer",Zinnias range in size from dwarf species that only grow 17 cm (7 inches) high to vigorous types over 120 cm (4 ft) tall.,Full sun,avarage,low
222,Zygopetalum (Zygo),"Annuals, Perennials","Zygopetalum has unusually colored flowers in shades of blue, purple, red and white.",9-11,"Spring, Autumn, Winter",Zygopetalum usually grows to a height of 40 cm (16 inches).,"Full sun, Partial sun",avarage,medium
